date,interval_start,queue,language,actual_calls,model_forecast_calls,partner_forecast_calls,staffing_gap_agents,event_types,alert_type,severity,score,message
2026-03-11,10:30,Customer Service,DE,2.0,8.337,30.754,-2.282,,partner_forecast_deviation,high,14.377,Partner forecast deviated materially from actual offered calls.
2026-05-11,18:15,Customer Service,DE,2.0,9.475,28.66,-4.995,,partner_forecast_deviation,high,13.33,Partner forecast deviated materially from actual offered calls.
2026-05-06,09:15,Customer Service,DE,4.0,7.553,54.526,-2.772,,partner_forecast_deviation,high,12.6315,Partner forecast deviated materially from actual offered calls.
2026-03-04,10:15,Sales,DE,2.0,4.77,25.956,0.445,,partner_forecast_deviation,high,11.978,Partner forecast deviated materially from actual offered calls.
2026-03-09,09:30,Customer Service,FR,2.0,5.121,25.482,-1.492,,partner_forecast_deviation,high,11.741,Partner forecast deviated materially from actual offered calls.
2026-02-10,16:30,Customer Service,DE,2.0,9.334,25.35,-2.883,,partner_forecast_deviation,high,11.675,Partner forecast deviated materially from actual offered calls.
2026-05-04,08:15,Customer Service,DE,2.0,9.714,23.726,-4.142,,partner_forecast_deviation,high,10.863,Partner forecast deviated materially from actual offered calls.
2026-03-09,15:15,Customer Service,FR,3.0,5.189,35.218,-1.525,,partner_forecast_deviation,high,10.7393,Partner forecast deviated materially from actual offered calls.
2026-05-13,17:00,Sales,DE,2.0,4.871,23.127,-1.613,,partner_forecast_deviation,high,10.5635,Partner forecast deviated materially from actual offered calls.
2026-02-05,10:00,Customer Service,DE,3.0,7.092,33.94,-3.503,,partner_forecast_deviation,high,10.3133,Partner forecast deviated materially from actual offered calls.
2026-02-04,18:30,Customer Service,DE,2.0,6.443,20.867,-2.072,,partner_forecast_deviation,high,9.4335,Partner forecast deviated materially from actual offered calls.
2026-03-12,14:15,Customer Service,DE,3.0,7.544,30.123,-2.77,,partner_forecast_deviation,high,9.041,Partner forecast deviated materially from actual offered calls.
2026-03-04,15:15,Sales,IT,2.0,2.372,19.716,0.055,,partner_forecast_deviation,high,8.858,Partner forecast deviated materially from actual offered calls.
2026-02-10,08:30,Customer Service,DE,2.0,7.865,19.67,-2.973,,partner_forecast_deviation,high,8.835,Partner forecast deviated materially from actual offered calls.
2026-05-13,11:30,Customer Service,DE,2.0,7.993,19.046,-2.062,,partner_forecast_deviation,high,8.523,Partner forecast deviated materially from actual offered calls.
2026-03-04,10:30,Customer Service,DE,5.0,8.372,46.321,-4.314,,partner_forecast_deviation,high,8.2642,Partner forecast deviated materially from actual offered calls.
2026-02-06,10:45,Customer Service,DE,3.0,7.127,27.363,-3.525,,partner_forecast_deviation,high,8.121,Partner forecast deviated materially from actual offered calls.
2026-05-05,12:15,Customer Service,DE,3.0,7.918,26.85,-4.007,,partner_forecast_deviation,high,7.95,Partner forecast deviated materially from actual offered calls.
2026-03-03,10:30,Customer Service,DE,8.0,13.312,14.858,-7.867,holiday_rebound,understaffing_risk,high,7.867,Required staffing exceeds available capacity.
2026-03-03,08:45,Customer Service,DE,9.0,11.893,13.214,-7.857,holiday_rebound,understaffing_risk,high,7.857,Required staffing exceeds available capacity.
