date,interval_start,queue,language,model_forecast_calls,model_required_agents,available_agents,model_staffing_gap_agents,stress_gap_if_calls_plus_5pct,event_types,fragility_reason
2026-01-12,11:30,Customer Service,DE,5.039,3.197,3,-0.197,-0.3568500000000001,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-04-08,10:15,Customer Service,DE,5.067,3.195,3,-0.195,-0.3547500000000001,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-04-01,11:15,Customer Service,DE,4.857,3.194,3,-0.194,-0.3536999999999999,billing_cycle,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-01-05,17:30,Customer Service,DE,5.039,3.191,3,-0.191,-0.35055000000000014,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-05-11,15:00,Sales,DE,6.116,3.191,3,-0.191,-0.35055000000000014,sales_offer,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-05-11,13:30,Sales,DE,6.072,3.191,3,-0.191,-0.35055000000000014,sales_offer,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-02-06,14:45,Customer Service,DE,5.035,3.19,3,-0.19,-0.3494999999999999,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-01-13,11:00,Customer Service,DE,5.016,3.187,3,-0.187,-0.34635000000000016,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-06-12,12:15,Customer Service,DE,4.889,3.185,3,-0.185,-0.34425000000000017,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-06-09,17:00,Customer Service,DE,4.905,3.185,3,-0.185,-0.34425000000000017,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-02-11,16:00,Customer Service,DE,5.017,3.182,3,-0.182,-0.34109999999999996,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-01-05,17:45,Customer Service,DE,5.001,3.173,3,-0.173,-0.3316500000000002,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-01-01,13:30,Customer Service,DE,4.866,3.173,3,-0.173,-0.3316500000000002,billing_cycle,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-02-06,12:45,Customer Service,DE,5.006,3.173,3,-0.173,-0.3316500000000002,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-06-08,16:15,Sales,DE,5.673,3.172,3,-0.172,-0.33060000000000045,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-03-11,16:45,Sales,DE,6.08,3.17,3,-0.17,-0.3285,sales_offer,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-02-09,17:00,Sales,DE,5.879,3.166,3,-0.166,-0.32430000000000003,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-05-05,11:15,Sales,DE,5.868,3.163,3,-0.163,-0.3211499999999998,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-05-12,10:30,Sales,DE,5.921,3.163,3,-0.163,-0.3211499999999998,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-06-04,16:00,Customer Service,DE,4.862,3.162,3,-0.162,-0.32010000000000005,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-05-12,16:00,Sales,DE,5.92,3.16,3,-0.16,-0.3180000000000005,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-01-13,11:15,Customer Service,DE,4.979,3.159,3,-0.159,-0.31694999999999984,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-06-09,14:45,Customer Service,DE,4.828,3.154,3,-0.154,-0.3117000000000001,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
2026-06-01,18:15,Sales,DE,3.936,2.2,2,-0.2,-0.3100000000000005,,"Looks covered, but a 5% demand increase breaks the staffing buffer."
