date,queue,language,checkpoint,actual_so_far,model_so_far,pace_ratio,remaining_model_forecast,adjusted_full_day_forecast,confidence_label
2026-01-01,Customer Service,DE,10:00,70.0,31.32,2.2349,172.64,320.33,Low
2026-01-01,Customer Service,DE,12:00,146.0,63.81,2.2879,140.15,349.22,Low
2026-01-01,Customer Service,DE,14:00,200.0,97.06,2.0605,106.9,355.0,Low
2026-01-01,Customer Service,DE,16:00,277.0,130.86,2.1168,73.1,383.0,Low
2026-01-01,Customer Service,EN,10:00,16.0,9.77,1.6383,51.06,90.03,Low
2026-01-01,Customer Service,EN,12:00,33.0,19.96,1.6532,40.86,92.25,Low
2026-01-01,Customer Service,EN,14:00,52.0,29.74,1.7486,31.08,97.07,Low
2026-01-01,Customer Service,EN,16:00,77.0,39.43,1.9527,21.39,108.02,Low
2026-01-01,Customer Service,FR,10:00,16.0,14.96,1.0697,67.51,88.21,High
2026-01-01,Customer Service,FR,12:00,38.0,29.83,1.274,52.64,105.06,Medium
2026-01-01,Customer Service,FR,14:00,54.0,42.17,1.2806,40.3,105.6,Medium
2026-01-01,Customer Service,FR,16:00,76.0,55.7,1.3645,26.76,112.52,Low
2026-01-01,Customer Service,IT,10:00,17.0,14.37,1.1833,67.27,96.6,Medium
2026-01-01,Customer Service,IT,12:00,52.0,28.93,1.7974,52.7,128.42,Low
2026-01-01,Customer Service,IT,14:00,69.0,40.28,1.7131,41.36,128.97,Low
2026-01-01,Customer Service,IT,16:00,90.0,53.19,1.692,28.44,131.25,Low
2026-01-01,Sales,DE,10:00,37.0,18.09,2.0457,90.69,168.5,Low
2026-01-01,Sales,DE,12:00,77.0,35.89,2.1451,72.88,182.68,Low
2026-01-01,Sales,DE,14:00,102.0,52.51,1.9424,56.26,183.58,Low
2026-01-01,Sales,DE,16:00,134.0,69.22,1.9359,39.56,191.36,Low
2026-01-01,Sales,EN,10:00,9.0,5.72,1.574,27.04,48.21,Low
2026-01-01,Sales,EN,12:00,20.0,10.99,1.8207,21.77,51.57,Low
2026-01-01,Sales,EN,14:00,24.0,16.22,1.48,16.54,47.99,Low
2026-01-01,Sales,EN,16:00,28.0,21.79,1.2851,10.97,42.1,Medium
2026-01-01,Sales,FR,10:00,11.0,7.45,1.4765,40.31,69.45,Low
